business_product_id;name;discriminator;street;house_number;postal_code;main_city_name;number_of_units;maximum_capacity;email;phone1;lat;long;nearestFC;distanceFC
211202;' A place to be... ';BED_AND_BREAKFAST;GROOT BEGIJNHOF;91;9040;Gent;1;8;LiliandGene@gmail.com;;51.058015;3.749028;Gent;2.0489229481441766
275861; Bruges Home;GENERIC_ROOMS;SLACHTHUISSTRAAT;1;8000;Brugge;1;4;;;51.219954;3.211232;Poelkapelle;34.88541827867312
345868; Charmante rijwoning;GENERIC_ROOMS;THÉODULE CANFIJNSTRAAT;52;9600;Ronse;1;1;elsy.provence@hotmail.com;0473608936;50.749317;3.60908;Mouscron;28.843284158747558
222862; Martine Haerens;HOLIDAY_COTTAGE;KRUISBULCKSTRAAT;22;9800;Deinze;1;3;martinehaerens@hotmail.com;+32 9 386 75 41;51.01628;3.486942;Gent;18.808812659972528
229896;' t Hemelbedje;BED_AND_BREAKFAST;Leistraat;2;8620;Nieuwpoort;4;10;info@hemelbedje.be;;51.1093425760807;2.76432351224519;Koksijde;9.346315769786592
220079;' T Stil Genot;HOLIDAY_COTTAGE;Sint-Omaarsstraat;1;8691;Alveringem;1;8;t.stil.genot@gmail.com;+32 51 51 09 31;50.920143;2.613962;Koksijde;20.009552905329258
377916; 't Zandmanneke;BED_AND_BREAKFAST;OUDE MOLENSTRAAT;20;8400;Oostende;3;6;info@bbtzandmanneke.com;0486664610;51.222104;2.909582;Koksijde;23.73311355350359
220355; 't Zeetje;BED_AND_BREAKFAST;Kasteelstraat;35;8660;De Panne;5;11;;+32475665382;51.09722355329941;2.592153130122508;Koksijde;2.7883354649385033
382942;"""2600""";HOLIDAY_COTTAGE;Lodewijk van Berckenlaan;134;2600;Antwerpen;1;5;;;51.197379;4.443168;Deurne;1.7963591339060536
383390;"""Casa Nina""";HOLIDAY_COTTAGE;Vrijheidstraat;73;8400;Oostende;1;4;;;51.213696;2.904943;Koksijde;22.93923681888933
378415;"""Chez Ba'Nus""";BED_AND_BREAKFAST;ROGIERLAAN;6;8370;Blankenberge;1;3;info@chezbanus.be;0485544878;51.316364;3.13233;Koksijde;42.48410324732503
222919;"""Juliette's"" Bed and Breakfast";BED_AND_BREAKFAST;MINNEPLEIN;3;8900;Ieper;4;10;juliette.ieper@telenet.be;+32 57 36 67 96;50.852367;2.880195;Poelkapelle;12.156973085874222
297667;"""Nice duplex with own bathroom""";BED_AND_BREAKFAST;ENGELSENLAAN;4;9600;Ronse;1;2;phil@saphico.be;;50.745174;3.591083;Mouscron;27.56373109379902
345906;#WGL;BED_AND_BREAKFAST;LEDEPONTWEG;2;9772;Kruisem;1;1;tom.libbrecht@gmail.com;+32494994052;50.889047;3.577094;Gent;23.5994341639645
384536;*Olena;GENERIC_ROOMS;TABAKVEST;78;2000;Antwerpen;1;2;olena.besjentseva@gmail.com;+32486271730;51.213942;4.410296;Deurne;3.2755288492811725
357489;*Staark;HOLIDAY_COTTAGE;PAUL SMEKENSPLEIN;30;2000;Antwerpen;1;2;info@staark.be;0032475241681;51.2265538305;4.4060627995;Deurne;3.9527935311553333
357488;*Staark;HOLIDAY_COTTAGE;PAUL SMEKENSPLEIN;30;2000;Antwerpen;1;2;info@staark.be;0032475241681;51.2265538305;4.4060627995;Deurne;3.9527935311553333
381012;@ De Heide;GUEST_ROOM;Ommegangsdreef;53;9250;Waasmunster;5;12;geert@allservice.be;0475417872;51.121271;4.100296;Gent;25.867389003163712
212411;@ Home;BED_AND_BREAKFAST;HEILIGE GEESTSTRAAT;3;3290;Diest;1;4;nicole.meelbergs@telenet.be;+32 13 31 22 82;50.987584;5.061785;Zoutleeuw;19.214063140440775
379619;@ Home;GENERIC_ROOMS;Mechelsesteenweg;186;1800;Vilvoorde;1;1;;;50.93477;4.427453;Neder-Over-Heembeek;3.9383599402651113
211765;@ Huize Ewoud;HOLIDAY_COTTAGE;SINT-EWOUDSSTRAAT;17;8200;Brugge;1;7;huizeewoud@gmail.com;;51.20133;3.203689;Poelkapelle;32.820416998635984
379143;@ Koppenberg;HOLIDAY_COTTAGE;Berchemweg;14;9700;Oudenaarde;1;5;carine_audooren@hotmail.com;+32 476 76 81 52;50.832009;3.599233;Gent;28.76229407683128
224697;@ Lighthouse B&B;BED_AND_BREAKFAST;KAAI;46;8620;Nieuwpoort;2;5;info@light-house.be;+32 58 23 73 52;51.133197;2.746827;Koksijde;8.878658290923466
380086;@ the Artist Gallery / Studio;BED_AND_BREAKFAST;OEDENKOVENSTRAAT;54;2140;Antwerpen;1;2;;;51.213531;4.431961;Deurne;1.7677521111781451
226892;@Cocoon;BED_AND_BREAKFAST;SINT-NIKLAASSTRAAT;9;8900;Ieper;3;6;info@cocoon-bedandbreakfast.be;+32 57 48 67 04;50.850839;2.88074;Poelkapelle;12.281358764226892
345956;@CoucheCouche;BED_AND_BREAKFAST;LAAR;30;2140;Antwerpen;2;6;bb.couchecouche@gmail.com;0496643417;51.216828;4.434336;Deurne;1.7067712111143658
324803;@Marieke;GENERIC_ROOMS;Landjuweelstraat;51;9050;Gent;1;3;marieke.janssen123@gmail.com;0474683253;51.03846857368365;3.740843078349152;Gent;4.085721019687673
